"con_4c9974a448553";"usr_4aef384a4c085";"trm_4c3e0add96550";"delay period distractor task";"an optional task performed during the delay period between target presentation and the response cue; tasks examples : number subtraction, word categorization";"2010-09-21 20:14:44"
"con_4c9975fc2e715";"usr_4aef384a4c085";"trm_4c3e0add96550";"sensory modality";"This task is overwhelmingly performed with visual stimuli with a visual saccade response, however, a haptic version performed blind is described in Park & Holzman 1996.";"2010-09-21 20:20:28"
"con_4ebd400a8721f";"usr_49a467bf4e0db";"trm_4cacf3fbc503b";"Successful stop trial";"Stop trial on which subjects successfully inhibit";"2011-11-11 07:32:26"
"con_4ebd3f96a11e3";"usr_49a467bf4e0db";"tsk_4a57abb949e1a";"Junk trial";"A go trial on which subject failed to respond or responded incorrectly";"2011-11-11 07:30:30"
"con_4cacf2671647d";"usr_49a467bf4e0db";"trm_4cacf22a22d80";"Probabilistic classification trials";"Trials on which the subject classifies items";"2010-10-06 15:04:23"
"con_4cacf41107509";"usr_49a467bf4e0db";"trm_4cacf3fbc503b";"Go trials";"Trials on which a go stimulus is presented and the subject is expected to respond";"2010-10-06 15:11:29"
"con_4cacf4462f7cf";"usr_49a467bf4e0db";"trm_4cacf3fbc503b";"Stop-critical trial";"Trials on which a stop signal is presented at some delay (stop-signal delay) following the go, and the stimulus is the critical stimulus, meaning that the subject is expected to stop";"2010-10-06 15:12:22"
"con_4cacf4680a5e0";"usr_49a467bf4e0db";"trm_4cacf3fbc503b";"Stop-noncritical trial";"Trials on which a stop signal is presented at some delay (stop-signal delay) following the go, and the stimulus is the non-critical stimulus, meaning that the subject is not expected to stop";"2010-10-06 15:12:56"
"con_4d949c72f2589";"usr_49a467bf4e0db";"trm_4d949c5b0e380";"Word";"Pairs of real english words";"2011-03-31 08:23:30"
"con_4d949c8528903";"usr_49a467bf4e0db";"trm_4d949c5b0e380";"Pseudoword";"Pairs of pseudowords";"2011-03-31 08:23:49"
"con_4de53a974622f";"usr_4de5345b3b6a8";"tsk_4a57abb94981d";"meaningful";"actions are common gestures";"2011-05-31 11:59:35"
"con_4de53abc62726";"usr_4de5345b3b6a8";"tsk_4a57abb94981d";"meaningless";"actions are novel, and have likely not been seen or performed by the participant before";"2011-05-31 12:00:12"
"con_4de55b6707137";"usr_4de5345b3b6a8";"tsk_4a57abb949869";"antisaccade";"eye movements away from the fixation point";"2011-05-31 14:19:35"
"con_4de55b77a975e";"usr_4de5345b3b6a8";"tsk_4a57abb949869";"prosaccade";"eye movements toward the fixation point";"2011-05-31 14:19:51"
"con_4de56f49c241c";"usr_4de5345b3b6a8";"tsk_4a57abb949a0d";"forward";"participant repeats a string of digits in the order they were presented";"2011-05-31 15:44:25"
"con_4de56f7a1755f";"usr_4de5345b3b6a8";"tsk_4a57abb949a0d";"backward";"participant repeats a string of digits in the reverse order, beginning with the last digit presented";"2011-05-31 15:45:14"
"con_4de5785aaa9dd";"usr_4de5345b3b6a8";"trm_4d559bcd67c18";"positive feedback";"the balloon does not burst and the participant earns money per pump";"2011-05-31 16:23:06"
"con_4de5788dbc4bf";"usr_4de5345b3b6a8";"trm_4d559bcd67c18";"negative feedback";"the balloon bursts and the participant receives no money";"2011-05-31 16:23:57"
"con_4de583fcb050b";"usr_4de5345b3b6a8";"tsk_4a57abb9498bc";"short form";"27 points, subjects match possible faces to one picture, the last seven questions use pictures different poses";"2011-05-31 17:12:44"
"con_4de584598a7df";"usr_4de5345b3b6a8";"tsk_4a57abb9498bc";"long form";"54 points, subjects complete the short form plus an additional nine questions with the pictures using alternate lighting and poses. Each picture has 3 possible matches during this portion";"2011-05-31 17:14:17"
"con_4de67164155d6";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"copying test";"patients/participants copy pictures or geometric objects";"2011-06-01 10:05:40"
"con_4de671af5ac83";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"size match";"patients judge whether two objects presented side-by-side are the same size";"2011-06-01 10:06:55"
"con_4de671d131e0a";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"length match";"patients judge whether two objects presented side-by-side are the same length";"2011-06-01 10:07:29"
"con_4de671e759538";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"orientation match";"patients judge whether two objects presented side-by-side are shown with the same orientation";"2011-06-01 10:07:51"
"con_4de6722368540";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"position gap match";"patients judge whether two objects presented side-by-side have a gap in the same position";"2011-06-01 10:08:51"
"con_4de674d6a83ce";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"overlapping figures test";"patients are asked to identify all the objects in pictures containing overlapping figures";"2011-06-01 10:20:22"
"con_4de6758abdd95";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"object decision";"patients are shown pictures and asked to identify whether the object could be real or is unreal";"2011-06-01 10:23:22"
"con_4de677aa1df70";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"minimal feature match";"patients are asked to select a picture that is the same as the original picture, but the saliency of the objectâ€™s most distinctive feature is reduced";"2011-06-01 10:32:26"
"con_4de67800c8e2a";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"foreshortened match";"patients are asked to select a picture that is the same as the original picture, but the object&#39;s principle axis is foreshortened";"2011-06-01 10:33:52"
"con_4de6789784b81";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"drawing from memory test";"patients draw simple shapes, as well as animate objects";"2011-06-01 10:36:23"
"con_4de678e0271fa";"usr_4de5345b3b6a8";"tsk_4a57abb9498ce";"picture naming";"patients identify the names for pictures presented. Pictures are generally words used infrequently";"2011-06-01 10:37:36"
"con_4de6a278a78fe";"usr_4de5345b3b6a8";"tsk_4a57abb949900";"immediate recall";"16 words from four categories are presented to the participant, who is then asked to recall as many as possible in 5 consecutive trials";"2011-06-01 13:35:04"
"con_4de6a2be90318";"usr_4de5345b3b6a8";"tsk_4a57abb949900";"interference";"a list of other words is presented, and the participant is once again asked to recall the initial 16 words";"2011-06-01 13:36:14"
"con_4de6a2f38a3dd";"usr_4de5345b3b6a8";"tsk_4a57abb949900";"long recall";"after 20 minutes have passed, the participant is again asked to recall as many words as possible from the original list of 16";"2011-06-01 13:37:07"
"con_4de6a33431179";"usr_4de5345b3b6a8";"tsk_4a57abb949900";"recognition trial";"some researchers include a recognition trial at the end of the test, in which the participant is shown a list of words and asked which ones were on the original list";"2011-06-01 13:38:12"
"con_4de6ad74bd5ee";"usr_4de5345b3b6a8";"tsk_4a57abb949912";"same images";"participants view 6 faces in a random order, then are given 3 forced-choice tasks per face they have seen, in which 2 distractor faces are added and the participant must choose which face they have seen before";"2011-06-01 14:21:56"
"con_4de6add394f5b";"usr_4de5345b3b6a8";"tsk_4a57abb949912";"novel images";"participants complete a forced-choice task as in the same images condition, but the original 6 faces are now shown in a different way (different lighting, new facial expression, etc.)";"2011-06-01 14:23:31"
"con_4de6ae3e22fb0";"usr_4de5345b3b6a8";"tsk_4a57abb949912";"novel images with noise";"the participants complete a novel images forced-choice task, with Gaussian noise added";"2011-06-01 14:25:18"
"con_4de6b69d1e52b";"usr_4de5345b3b6a8";"trm_4d54b2cc0f943";"ratio";"different trials contain different probabilities of choosing the correct color";"2011-06-01 15:01:01"
"con_4de6bfac7a76f";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"stimulus";"a subject must watch for a stimulus to be presented in the way it was shown to them before the test, then must react by pressing a button";"2011-06-01 15:39:40"
"con_4de6bfdf58e8e";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"non-stimulus";"a subject is watching for a stimulus, but some other shape/picture/object is shown";"2011-06-01 15:40:31"
"con_4de6c00e51ce0";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"right hand";"subjects are instructed to identify a stimulus or set of stimuli by pressing a button with the right hand";"2011-06-01 15:41:18"
"con_4de6c02033068";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"left hand";"subjects are instructed to identify a stimulus or set of stimuli by pressing a button with the left hand";"2011-06-01 15:41:36"
"con_4de6c5f53e3b1";"usr_4de5345b3b6a8";"trm_4d55a2bbcfdff";"risky option";"a choice that has a low probability of reward, but a higher reward than the non-risky option";"2011-06-01 16:06:29"
"con_4de6c62e9b3ed";"usr_4de5345b3b6a8";"trm_4d55a2bbcfdff";"non-risky option";"a choice that has a high probability of reward, but the reward is lower than in the risky option";"2011-06-01 16:07:26"
"con_4de6c84f74297";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"conditioned stimulus";"a stimulus is presented that the subject has no instinctive response to, but the researcher hopes to create an automatic response to by pairing it with the unconditioned stimulus";"2011-06-01 16:16:31"
"con_4de6c8bbe652f";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"unconditioned stimulus";"a stimulus that the subject has a natural, instinctive reaction to ( stimuli associated with pain, noise, fear, and reward are often used)";"2011-06-01 16:18:19"
"con_4de6c945844e4";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"unconditioned response";"the way in which the subject reacts to the presentation of the unconditioned stimulus";"2011-06-01 16:20:37"
"con_4de6c9842d9c2";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"conditioned response";"the automatic reaction to the conditioned stimulus after it has become associated with the unconditioned stimulus";"2011-06-01 16:21:40"
"con_4de6d03ae6527";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"formulating sentences subtest";"participant is asked to use a specific word or phrase correctly in a sentence to describe a picture";"2011-06-01 16:50:18"
"con_4de6d066cb774";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"recalling sentences subtest";"participant is asked to repeat a sentence";"2011-06-01 16:51:02"
"con_4de6d0d578e8e";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"sentence structure subtest";"participant responds to sentences of varying difficulty and structure";"2011-06-01 16:52:53"
"con_4de6d1194328b";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"concepts and directions subtest";"participant is asked to follow directions that become increasingly difficult and cover a range of language concepts";"2011-06-01 16:54:01"
"con_4de6d1650c54a";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"word classes subtest";"participants must identify how words relate to each other (synonyms/antonyms, types, etc.)";"2011-06-01 16:55:17"
"con_4de6d27471736";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"word structure subtest";"assesses participants understanding of morphology";"2011-06-01 16:59:48"
"con_4de6d42855b8b";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"semantic relationships subtest";"only administered to children 9 years and older, assesses ability to understand semantic relationships";"2011-06-01 17:07:04"
"con_4de6d45dd9ade";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"sentence assembly subtest";"only administered to children 9 years and older, participant is given words or phrases and asked to construct sentences using them";"2011-06-01 17:07:57"
"con_4e5e7b75a6db4";"usr_4e4a7f57b30e6";"trm_4e5e7ac84c2e5";"Stimulation at PT-0.7Â°C";"Heat stimulation at pain threshold minus 0.7Â°C";"2011-08-31 11:20:37"
"con_4e5e7b3e4b895";"usr_4e4a7f57b30e6";"trm_4e5e7ac84c2e5";"Stimulation at PT-1.0Â°C";"Heat stimulation at pain threshold minus 1.0Â°C";"2011-08-31 11:19:42"
"con_4de7dc695f6f3";"usr_4de5345b3b6a8";"trm_4c898b4b463aa";"hider";"the subject hides an object and is encouraged to mislead the experimenter or other participant about where the object is hidden";"2011-06-02 11:54:33"
"con_4de7dcca3449f";"usr_4de5345b3b6a8";"trm_4c898b4b463aa";"guesser";"the experimenter or another participant hides an object and clearly tries to decieve the subject about where the object is hidden. In this task the experimenter is trying to ascertain whether the subject has the theory of mind to identify deceptive intent in others.";"2011-06-02 11:56:10"
"con_4de7e52cd087d";"usr_4de5345b3b6a8";"trm_4c898b8c2d071";"valid";"a subject is given a syllogism and asked to complete it or, if complete, to judge whether it is logically sound";"2011-06-02 12:31:56"
"con_4de7e54b3b6d2";"usr_4de5345b3b6a8";"trm_4c898b8c2d071";"invalid";"a subject is given an illogical syllogism and asked to judge whether it is logically sound";"2011-06-02 12:32:27"
"con_4de91cc95248e";"usr_4de5345b3b6a8";"trm_4d559d2703bae";"positive feedback";"the participant chooses a box containing a prize";"2011-06-03 10:41:29"
"con_4de91ce5f25a9";"usr_4de5345b3b6a8";"trm_4d559d2703bae";"negative feedback";"the participant chooses the devil box and loses all previous gains";"2011-06-03 10:41:57"
"con_4de929a6133f6";"usr_4de5345b3b6a8";"tsk_4a57abb949a25";"immediate memory copy";"in this version of the digit/symbol coding test, participants are shown a list of digits and symbols and immediately asked to write down the symbols that correspond to a list of digits";"2011-06-03 11:36:22"
"con_4de929f983464";"usr_4de5345b3b6a8";"tsk_4a57abb949a25";"general memory copy";"in this version of the digit/symbol coding test, participants are given time to study a list of digits and symbols and, after a period of time, asked to write down the symbols that correspond to a list of digits";"2011-06-03 11:37:45"
"con_4de93d28647c8";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"verbal recall (people test)";"participants are shown picures of people with names and occupations (or other information) attached. They are asked to recall the names when prompted with the occupation";"2011-06-03 12:59:36"
"con_4de93ddadf156";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"visual recognition (doors test)";"participants view pictures of doors. They then are presented with groupings of doors, each containing one from the studyied photos and 3 distractors and asked to identify the familiar door";"2011-06-03 13:02:34"
"con_4de93e2a139bb";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"visual recall (shapes test)";"participants copy line drawings that resemble crosses, then they are asked to redraw the shapes from memory";"2011-06-03 13:03:54"
"con_4de93e831be61";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"verbal recognition (names test)";"participants view a list of names. They then are presented with groupings of names, each containing one from the studyied list and 3 distractors and asked to identify the familiar name";"2011-06-03 13:05:23"
"con_4decfedb911e2";"usr_4de5345b3b6a8";"tsk_4a57abb949a4f";"congruent";"the participant is shown a stimulus flanked by some congruent image (the same letter or number as the stimulus or arrows pointing in the same direction as the target stimulus)";"2011-06-06 09:22:51"
"con_4decff04d5ada";"usr_4de5345b3b6a8";"tsk_4a57abb949a4f";"incongruent";"the participant is shown a stimulus flanked by incongruent images (different letters or numbers or arrows pointing in the opposite direction)";"2011-06-06 09:23:32"
"con_4ded127194dd6";"usr_4de5345b3b6a8";"tsk_4a57abb949a6a";"emotion detection";"participants must indicate when the current faces emotion matches the emotion of the face presented n previously";"2011-06-06 10:46:25"
"con_4ded129f8c792";"usr_4de5345b3b6a8";"tsk_4a57abb949a6a";"identity detection";"participants must indicate when the current picture is of the same person as presented n previously";"2011-06-06 10:47:11"
"con_4ded2ba5e3333";"usr_4de5345b3b6a8";"trm_4c898f079d05e";"rhythm tap";"subject must tap a button each time they hear a tone or see a light flash, which is presented in a consistent rhythm. Then, they must continue tapping in this rhythm after the stimulus has ceased";"2011-06-06 12:33:57"
"con_4ded2bceed869";"usr_4de5345b3b6a8";"trm_4c898f079d05e";"time tap";"subject must tap a button as many times as possible in a period of 10 seconds. Usually repeated trials are administered and an average score is obtained.";"2011-06-06 12:34:38"
"con_4ded4b345f18a";"usr_4de5345b3b6a8";"trm_4c898fc6722f4";"emotion manipulation";"some words on the list have neutral meaning, while other words have highly emotional content";"2011-06-06 14:48:36"
"con_4ded4b7c48e71";"usr_4de5345b3b6a8";"trm_4c898fc6722f4";"category list";"words on the list, even if organized randomly, come from distinct categories of association so the subject can group them together as a memorization strategy";"2011-06-06 14:49:48"
"con_4df11413051f5";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"Transformation plates";"plates are designed so that a person with deficient color vision will report a different digit than someone with normal color vision";"2011-06-09 11:42:27"
"con_4df1143e308e6";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"Vanishing plates";"plates are designed to that a person with deficient color vision will not see any digits, while people with normal color vision will report some digit";"2011-06-09 11:43:10"
"con_4df11498b173f";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"Hidden Digits plates";"plates are designed so that a person with deficient color vision will report seeing a digit, while people with normal color vision will not";"2011-06-09 11:44:40"
"con_4df2609cea616";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Contamination/Cleaning";"questions that assess whether the participant has abnormal standards of cleanliness or abnormal negative feelings associated with uncleanliness";"2011-06-10 11:21:16"
"con_4df260fd66ed8";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Checking";"questions that assess whether the participant rechecks things that have been checked before, or checks things after certainty should already have been attained";"2011-06-10 11:22:53"
"con_4df26137bc517";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Slowness";"questions that assess whether the participant takes longer than necessary to perform common tasks";"2011-06-10 11:23:51"
"con_4df261fc3cb2d";"usr_4de5345b3b6a8";"tsk_4a57abb949b54";"Doubting";"questions that assess whether a participant requires an unrealistic amount of perfection or underestimates their ability to adequately perform tasks or make moral decisions";"2011-06-10 11:27:08"
"con_4df298c5963fa";"usr_4de5345b3b6a8";"trm_4c8990b07a037";"Comprehension";"subjects are played music and tested to see if they processed it, remembered it, or had the same auditory experience as others";"2011-06-10 15:20:53"
"con_4df298fddcc24";"usr_4de5345b3b6a8";"trm_4c8990b07a037";"Production";"subjects are asked to play or sing music ";"2011-06-10 15:21:49"
"con_4df8e1f29aef3";"usr_4de5345b3b6a8";"tsk_4a57abb949d17";"Uncued";"The subject is not shown a cue prior to the appearance of the stimulus";"2011-06-15 09:46:42"
"con_4df8e24a62aa3";"usr_4de5345b3b6a8";"tsk_4a57abb949d17";"Congruent Cue";"A cue appears before the target stimulus. This cue is in the same location as the target stimulus (a location cue) or pointing in the direction of the target stimulus (an orientation cue).";"2011-06-15 09:48:10"
"con_4df8e2760dd20";"usr_4de5345b3b6a8";"tsk_4a57abb949d17";"Incongruent Cue";"A cue appears before the target stimulus, but in another location or orientation.";"2011-06-15 09:48:54"
"con_4df8fae1e5bec";"usr_4de5345b3b6a8";"tsk_4a57abb949d25";"Word";"participants are presented with a real word";"2011-06-15 11:33:05"
"con_4df8fb518be8c";"usr_4de5345b3b6a8";"tsk_4a57abb949d25";"Morphologically Decomposable Pseudowords";"participants are presented with pseudowords whose structure contains morphemes that commonly exist in their language";"2011-06-15 11:34:57"
"con_4df8fb9e02055";"usr_4de5345b3b6a8";"tsk_4a57abb949d25";"Morphologically Non-decomposable Pseudowords";"participants are presented with pseudowords that do not have morphological structure";"2011-06-15 11:36:14"
"con_4dfa6ad39ee74";"usr_4de5345b3b6a8";"tsk_4a57abb949d84";"Semantically correct";"participants view sentences that are semantically correct and would make sense in everday speech (e.g. &#34;Did the visitor that admired the plants leave the wallet in the room?&#34;)";"2011-06-16 13:42:59"
"con_4dfa6b1c620a6";"usr_4de5345b3b6a8";"tsk_4a57abb949d84";"Semantically anomalous";"participants view sentences that are semantically incorrect and would not make sense (e.g. &#34;The boys admired the curly, new car of the secretary in the office.&#34;)";"2011-06-16 13:44:12"
"con_4dfa71f0c9afd";"usr_4de5345b3b6a8";"tsk_4a57abb949d92";"Semantically associated items";"participants view items that have some semantic association (e.g. &#34;car&#34; and &#34;truck&#34;)";"2011-06-16 14:13:20"
"con_4dfa7237ebfdd";"usr_4de5345b3b6a8";"tsk_4a57abb949d92";"Semantically unrelated items";"participants view items that have no strong semantic association between them (e.g. &#34;shirt&#34; and &#34;airplane&#34;)";"2011-06-16 14:14:31"
"con_4dfa889b33ab5";"usr_4de5345b3b6a8";"tsk_4a57abb949dbb";"Congruent Cue";"Participants view stimuli that are pointing in the same direction as the visual field they appear in, or participants press a button that resembles the stimulus or visual field (i.e. pressing a right arrow on a keyboard when a right-facing arrow appears, or the stimulus is in the right visual field)";"2011-06-16 15:50:03"
"con_4dfa891db4ac6";"usr_4de5345b3b6a8";"tsk_4a57abb949dbb";"Incongruent Cue";"Participants view stimuli that are pointing opposite the visual field they appear in, or the participants press a button that is opposite the stimulus direction or visual field (i.e. pressing a left arrow on a keyboard when a right-facing arrow appears, or when the stimulus is in the right visual field)";"2011-06-16 15:52:13"
"con_4dfb9a322be5a";"usr_4de5345b3b6a8";"tsk_4a57abb949df1";"0-back";"participants are asked to identify the spatial location of the dot in the current picture";"2011-06-17 11:17:22"
"con_4dfb9a75a2ae8";"usr_4de5345b3b6a8";"tsk_4a57abb949df1";"1-back";"participants are asked to identify the spatial location of the dot presented 1 picture previously, or indicate whether the current dot matches the position of the dot in the previous picture";"2011-06-17 11:18:29"
"con_4dfb9ab8d6e90";"usr_4de5345b3b6a8";"tsk_4a57abb949df1";"2-back";"participants are asked to identify the spatial location of the dot presented 2 pictures previously, or indicate whether the current dot matches the position of the dot in the picture presented 2 previously";"2011-06-17 11:19:36"
"con_4dfb9af0983f6";"usr_4de5345b3b6a8";"tsk_4a57abb949df1";"3-back";"participants are asked to identify the spatial location of the dot presented 3 pictures previously, or indicate whether the current dot matches the position of the dot in the picture presented 3 previously";"2011-06-17 11:20:32"
"con_4dfba87cdac32";"usr_4de5345b3b6a8";"tsk_4a57abb949dfe";"Trait Anxiety ";"this half of the questionnaire evaluates how the participant feels in general";"2011-06-17 12:18:20"
"con_4dfba8b045f20";"usr_4de5345b3b6a8";"tsk_4a57abb949dfe";"State Anxiety";"this half of the questionnaire evaluates how the participant feels at the moment. This half is more likely to change with re-administration of the questionnaire";"2011-06-17 12:19:12"
"con_4dfbb16a63016";"usr_4de5345b3b6a8";"tsk_4a57abb949e27";"Congruent";"the word is printed in the color that it&#39;s name suggests (i.e. &#34;yellow&#34; printed in yellow ink)";"2011-06-17 12:56:26"
